Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1770733646756,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.31689453125,71.57540893554688,74.6144790649414,75.0445556640625,76.88573455810547,76.93440246582031,72.82640075683594,74.6280517578125,76.98221588134766,76.75193786621094,100,100,100,100,100,100,100,100,100,100,25.03067970275879,17179869184,12884901888,13464846336,11890524160
204,1770733646961,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.31689453125,71.57540893554688,74.6144790649414,75.0445556640625,76.88573455810547,76.93440246582031,72.82640075683594,74.6280517578125,76.98221588134766,76.75193786621094,100,100,100,100,100,100,100,100,100,100,25.03067970275879,17179869184,12884901888,13479739392,11890524160
203,1770733647166,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.2205581665039,71.55816650390625,74.50541687011719,74.87567138671875,76.6270751953125,76.52890014648438,72.65415954589844,74.52197265625,76.67851257324219,76.85194396972656,100,100,100,100,100,100,100,100,100,100,25.03067970275879,17179869184,12884901888,13559087104,11890524160
202,1770733647369,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.2205581665039,71.55816650390625,74.50541687011719,74.87567138671875,76.6270751953125,76.52890014648438,72.65415954589844,74.52197265625,76.67851257324219,76.85194396972656,100,100,100,100,100,100,100,100,100,100,25.03067970275879,17179869184,12884901888,13559087104,11890524160
205,1770733647572,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.2205581665039,71.55816650390625,74.50541687011719,74.87567138671875,76.6270751953125,76.52890014648438,72.65415954589844,74.52197265625,76.67851257324219,76.85194396972656,100,100,100,100,100,100,100,100,100,100,24.576417922973633,17179869184,12884901888,13643644928,11890524160
199,1770733647779,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.2205581665039,71.55816650390625,74.50541687011719,74.87567138671875,76.6270751953125,76.52890014648438,72.65415954589844,74.52197265625,76.67851257324219,76.85194396972656,100,100,100,100,100,100,100,100,100,100,24.576417922973633,17179869184,12884901888,13635928064,11890524160
200,1770733647979,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.2205581665039,71.55816650390625,74.50541687011719,74.87567138671875,76.6270751953125,76.52890014648438,72.65415954589844,74.52197265625,76.67851257324219,76.85194396972656,100,100,100,100,100,100,100,100,100,100,24.576417922973633,17179869184,12884901888,13640679424,11890524160
200,1770733648180,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.7171401977539,71.70233917236328,75.0795669555664,74.95463562011719,77.14916229248047,77.14280700683594,72.87449645996094,75.05171203613281,76.75236511230469,77.1209716796875,100,100,100,100,100,100,100,100,100,100,24.576417922973633,17179869184,12884901888,13640679424,11890524160
204,1770733648380,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.7171401977539,71.70233917236328,75.0795669555664,74.95463562011719,77.14916229248047,77.14280700683594,72.87449645996094,75.05171203613281,76.75236511230469,77.1209716796875,100,100,100,100,100,100,100,100,100,100,24.576417922973633,17179869184,12884901888,13640679424,11890524160
199,1770733648585,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.7171401977539,71.70233917236328,75.0795669555664,74.95463562011719,77.14916229248047,77.14280700683594,72.87449645996094,75.05171203613281,76.75236511230469,77.1209716796875,100,100,100,100,100,100,100,100,100,100,26.856529235839844,17179869184,12884901888,13585268736,11890524160
204,1770733648785,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.7171401977539,71.70233917236328,75.0795669555664,74.95463562011719,77.14916229248047,77.14280700683594,72.87449645996094,75.05171203613281,76.75236511230469,77.1209716796875,100,100,100,100,100,100,100,100,100,100,26.856529235839844,17179869184,12884901888,13638893568,11890524160
204,1770733648989,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.7171401977539,71.70233917236328,75.0795669555664,74.95463562011719,77.14916229248047,77.14280700683594,72.87449645996094,75.05171203613281,76.75236511230469,77.1209716796875,100,100,100,100,100,100,100,100,100,100,26.856529235839844,17179869184,12884901888,13641957376,11890524160
200,1770733649194,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.8442153930664,71.89612579345703,75.15459442138672,75.722900390625,77.539794921875,77.40808868408203,73.18247985839844,75.43124389648438,76.92097473144531,77.23098754882813,100,100,100,100,100,100,100,100,100,100,26.856529235839844,17179869184,12884901888,13642186752,11890524160
203,1770733649394,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.8442153930664,71.89612579345703,75.15459442138672,75.722900390625,77.539794921875,77.40808868408203,73.18247985839844,75.43124389648438,76.92097473144531,77.23098754882813,100,100,100,100,100,100,100,100,100,100,26.856529235839844,17179869184,12884901888,13635911680,11890524160
204,1770733649598,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.8442153930664,71.89612579345703,75.15459442138672,75.722900390625,77.539794921875,77.40808868408203,73.18247985839844,75.43124389648438,76.92097473144531,77.23098754882813,100,100,100,100,100,100,100,100,100,100,27.448909759521484,17179869184,12884901888,13627047936,11890524160
206,1770733649803,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.8442153930664,71.89612579345703,75.15459442138672,75.722900390625,77.539794921875,77.40808868408203,73.18247985839844,75.43124389648438,76.92097473144531,77.23098754882813,100,100,100,100,100,100,100,100,100,100,27.448909759521484,17179869184,12884901888,13601816576,11890524160
200,1770733650010,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.8442153930664,71.89612579345703,75.15459442138672,75.722900390625,77.539794921875,77.40808868408203,73.18247985839844,75.43124389648438,76.92097473144531,77.23098754882813,100,100,100,100,100,100,100,100,100,100,27.448909759521484,17179869184,12884901888,13582991360,11890524160
200,1770733650211,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.66099548339844,71.52249145507813,74.85649871826172,75.23796844482422,76.90672302246094,77.16788482666016,72.62193298339844,74.73719787597656,76.44219970703125,77.08760070800781,100,100,100,100,100,100,100,100,100,100,27.448909759521484,17179869184,12884901888,13585088512,11890524160
206,1770733650411,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.66099548339844,71.52249145507813,74.85649871826172,75.23796844482422,76.90672302246094,77.16788482666016,72.62193298339844,74.73719787597656,76.44219970703125,77.08760070800781,100,100,100,100,100,100,100,100,100,100,27.448909759521484,17179869184,12884901888,13583351808,11890524160
204,1770733650618,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.66099548339844,71.52249145507813,74.85649871826172,75.23796844482422,76.90672302246094,77.16788482666016,72.62193298339844,74.73719787597656,76.44219970703125,77.08760070800781,100,100,100,100,100,100,100,100,100,100,26.689411163330078,17179869184,12884901888,13573472256,11890524160
203,1770733650823,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,74.66099548339844,71.52249145507813,74.85649871826172,75.23796844482422,76.90672302246094,77.16788482666016,72.62193298339844,74.73719787597656,76.44219970703125,77.08760070800781,100,100,100,100,100,100,100,100,100,100,26.689411163330078,17179869184,12884901888,13572423680,11890524160
